code,value,wds,year,unixtime
zb.A0G0101_sj.2018,1833800.0,A0G0101,2018,1578884100
zb.A0G0101_sj.2017,1848032.0,A0G0101,2017,1578884100
zb.A0G0101_sj.2016,1874131.0,A0G0101,2016,1578884100
zb.A0G0101_sj.2015,1874448.0,A0G0101,2015,1578884100
zb.A0G0101_sj.2014,1902500.0,A0G0101,2014,1578884100
zb.A0G0101_sj.2013,1796382.0,A0G0101,2013,1578884100
zb.A0G0101_sj.2012,1793267.0,A0G0101,2012,1578884100
zb.A0G0101_sj.2011,1761542.0,A0G0101,2011,1578884100
zb.A0G0101_sj.2010,1756385.0,A0G0101,2010,1578884100
zb.A0G0101_sj.2009,1850147.0,A0G0101,2009,1578884100
zb.A0G0102_sj.2018,3642970.0,A0G0102,2018,1578884100
zb.A0G0102_sj.2017,3846122.0,A0G0102,2017,1578884100
zb.A0G0102_sj.2016,3855896.0,A0G0102,2016,1578884100
zb.A0G0102_sj.2015,3879657.0,A0G0102,2015,1578884100
zb.A0G0102_sj.2014,3881462.0,A0G0102,2014,1578884100
zb.A0G0102_sj.2013,3806122.0,A0G0102,2013,1578884100
zb.A0G0102_sj.2012,2778125.0,A0G0102,2012,1578884100
zb.A0G0102_sj.2011,1689831.0,A0G0102,2011,1578884100
zb.A0G0102_sj.2010,1616625.0,A0G0102,2010,1578884100
zb.A0G0102_sj.2009,1609972.0,A0G0102,2009,1578884100
zb.A0G0103_sj.2018,0.0,A0G0103,2018,1578884100
zb.A0G0103_sj.2017,0.0,A0G0103,2017,1578884100
zb.A0G0103_sj.2016,0.0,A0G0103,2016,1578884100
zb.A0G0103_sj.2015,0.0,A0G0103,2015,1578884100
zb.A0G0103_sj.2014,0.0,A0G0103,2014,1578884100
zb.A0G0103_sj.2013,0.0,A0G0103,2013,1578884100
zb.A0G0103_sj.2012,0.0,A0G0103,2012,1578884100
zb.A0G0103_sj.2011,1169084.0,A0G0103,2011,1578884100
zb.A0G0103_sj.2010,1119633.0,A0G0103,2010,1578884100
zb.A0G0103_sj.2009,1087973.0,A0G0103,2009,1578884100
zb.A0G0104_sj.2018,357698.0,A0G0104,2018,1578884100
zb.A0G0104_sj.2017,441227.0,A0G0104,2017,1578884100
zb.A0G0104_sj.2016,460259.0,A0G0104,2016,1578884100
zb.A0G0104_sj.2015,466509.0,A0G0104,2015,1578884100
zb.A0G0104_sj.2014,491124.0,A0G0104,2014,1578884100
zb.A0G0104_sj.2013,483428.0,A0G0104,2013,1578884100
zb.A0G0104_sj.2012,447050.0,A0G0104,2012,1578884100
zb.A0G0104_sj.2011,460513.0,A0G0104,2011,1578884100
zb.A0G0104_sj.2010,444930.0,A0G0104,2010,1578884100
zb.A0G0104_sj.2009,449479.0,A0G0104,2009,1578884100
zb.A0G0105_sj.2018,645957.0,A0G0105,2018,1578884100
zb.A0G0105_sj.2017,624318.0,A0G0105,2017,1578884100
zb.A0G0105_sj.2016,595301.0,A0G0105,2016,1578884100
zb.A0G0105_sj.2015,553358.0,A0G0105,2015,1578884100
zb.A0G0105_sj.2014,507789.0,A0G0105,2014,1578884100
zb.A0G0105_sj.2013,494397.0,A0G0105,2013,1578884100
zb.A0G0105_sj.2012,376100.0,A0G0105,2012,1578884100
zb.A0G0105_sj.2011,335260.0,A0G0105,2011,1578884100
zb.A0G0105_sj.2010,272023.0,A0G0105,2010,1578884100
zb.A0G0105_sj.2009,252779.0,A0G0105,2009,1578884100
zb.A0G0106_sj.2018,33883.0,A0G0106,2018,1578884100
zb.A0G0106_sj.2017,36965.0,A0G0106,2017,1578884100
zb.A0G0106_sj.2016,36444.0,A0G0106,2016,1578884100
zb.A0G0106_sj.2015,38536.0,A0G0106,2015,1578884100
zb.A0G0106_sj.2014,37632.0,A0G0106,2014,1578884100
zb.A0G0106_sj.2013,37704.0,A0G0106,2013,1578884100
zb.A0G0106_sj.2012,39762.0,A0G0106,2012,1578884100
zb.A0G0106_sj.2011,32458.0,A0G0106,2011,1578884100
zb.A0G0106_sj.2010,27341.0,A0G0106,2010,1578884100
zb.A0G0106_sj.2009,21842.0,A0G0106,2009,1578884100
zb.A0G0107_sj.2018,0.0,A0G0107,2018,1578884100
zb.A0G0107_sj.2017,428096.0,A0G0107,2017,1578884100
zb.A0G0107_sj.2016,432424.0,A0G0107,2016,1578884100
zb.A0G0107_sj.2015,431191.0,A0G0107,2015,1578884100
zb.A0G0107_sj.2014,436132.0,A0G0107,2014,1578884100
zb.A0G0107_sj.2013,442510.0,A0G0107,2013,1578884100
zb.A0G0107_sj.2012,288400.0,A0G0107,2012,1578884100
zb.A0G0107_sj.2011,311846.0,A0G0107,2011,1578884100
zb.A0G0107_sj.2010,285980.0,A0G0107,2010,1578884100
zb.A0G0107_sj.2009,269764.0,A0G0107,2009,1578884100
zb.A0G0108_sj.2018,929159.0,A0G0108,2018,1578884100
zb.A0G0108_sj.2017,910924.0,A0G0108,2017,1578884100
zb.A0G0108_sj.2016,930745.0,A0G0108,2016,1578884100
zb.A0G0108_sj.2015,974473.0,A0G0108,2015,1578884100
zb.A0G0108_sj.2014,1029294.0,A0G0108,2014,1578884100
zb.A0G0108_sj.2013,1076595.0,A0G0108,2013,1578884100
zb.A0G0108_sj.2012,678609.0,A0G0108,2012,1578884100
zb.A0G0108_sj.2011,618264.0,A0G0108,2011,1578884100
zb.A0G0108_sj.2010,533887.0,A0G0108,2010,1578884100
zb.A0G0108_sj.2009,552687.0,A0G0108,2009,1578884100
zb.A0G0109_sj.2018,0.0,A0G0109,2018,1578884100
